video_id,split
20221107_GSW_SAC,train
20221107_PHI_PHX,train
20221107_SAS_DEN,train
20221110_NOP_POR,train
20221118_DAL_DNF,train
20221118_MEM_OKC,train
20221204_DET_MEM,train
20221205_ATL_OKC,train
20240522_MIN_DAL,train
20240524_MIN_DAL,train
20240606_BOS_DAL,train
20240609_BOS_DAL,train
20250321_MAV_DET,train
20250326_PHI_WSH,train
20250331_CHA_UTA,train
20250401_ATL_POR,train
20250401_MIL_PHX,train
20250406_ATL_UTA,train
20250425_DET_NYK,train
20250429_GSW_HOU,train
20250501_LAL_MIN,train
20250506_OKC_DEN,train
20221107_MIN_NYK,validation
20221119_IND_ORL,validation
20240528_DAL_MIN,validation
20240612_DAL_BOS,validation
20240617_BOS_DAL,validation
20221109_IND_DEN,test
20240614_DAL_BOS,test
20250411_SAC_LAC,test
20250415_GSW_MEM,test
20250430_DEN_LAC,test
